,ITEM_ID,COR,SESSION_ID,ITEM_PRICE,INTERESTED
126297,255995290,PRETO,687.110639675,27.99,0.0
127111,255994238,VERMELHO,21.739073233600003,27.99,0.0
127640,255995290,PRETO,722.141906747,27.99,0.0
128319,255995290,PRETO,233.71983796900003,25.9675,0.0
128744,255995290,PRETO,223.090193032,27.99,0.0
130085,255994238,VERMELHO,864.152094698,27.99,0.0
130456,255994238,VERMELHO,109.158526646,27.99,0.0
130967,255995290,PRETO,570.529554847,27.99,0.0
131711,255995290,PRETO,163.815397092,27.99,0.0
131770,255995290,PRETO,362.523124722,27.99,0.0
133433,255995290,PRETO,708.766738601,27.99,1.0
134625,255994238,VERMELHO,462.452795824,27.99,0.0
136525,255994238,VERMELHO,350.75942049400004,25.99,0.0
137504,255995290,PRETO,671.977151478,27.99,0.0
138842,255995290,PRETO,23.6785527934,27.99,0.0
139000,255995290,PRETO,313.991619158,27.99,0.0
139973,255994238,VERMELHO,101.478353058,27.99,0.0
140123,255994238,VERMELHO,696.3712466589999,27.99,1.0
140362,255995290,PRETO,94.3145794902,27.99,0.0
142240,255994238,VERMELHO,593.596079483,27.99,0.0
143123,255995290,PRETO,88.78918328569999,27.99,0.0
143219,255994238,VERMELHO,343.297252522,27.99,0.0
144780,255995290,PRETO,910.623759195,27.99,0.0
145426,255995290,PRETO,931.754061403,25.842857142899998,0.0
145931,255995290,PRETO,484.883353935,25.9675,0.0
146123,255995290,PRETO,708.635674782,27.99,0.0
146203,255994238,VERMELHO,722.4558403039999,27.99,0.0
146893,255995290,PRETO,512.690587157,27.99,0.0
147268,255995290,PRETO,841.7932205430001,27.99,0.0
147294,255994238,VERMELHO,910.5562071769999,26.91642857145,0.0
148836,255995290,PRETO,61.509547750699994,25.842857142899998,0.0
148925,255995290,PRETO,431.01997609,27.99,0.0
150331,255995290,PRETO,912.9617773089999,27.99,0.0
150806,255995290,PRETO,401.34375356099997,27.99,0.0
151140,255995290,PRETO,100.698986474,27.99,0.0
151385,255995290,PRETO,750.905206581,27.99,0.0
151616,255995290,PRETO,196.50655886799998,27.99,0.0
153805,255995290,PRETO,223.22941420200002,27.99,0.0
155530,255994238,VERMELHO,264.2343815,27.99,0.0
157438,255995290,PRETO,55.6873779502,27.99,0.0
157803,255994238,VERMELHO,254.009800795,27.99,0.0
158574,255995290,PRETO,341.20148539900003,27.99,0.0
159974,255995290,PRETO,664.601716671,27.99,0.0
160959,255995290,PRETO,137.540303339,27.99,0.0
162028,255994238,VERMELHO,588.462548824,27.99,0.0
163368,255994238,VERMELHO,844.8700817819999,27.99,0.0
163409,255995290,PRETO,680.452659135,27.99,0.0
164774,255995290,PRETO,203.757780385,27.99,0.0
165191,255995290,PRETO,917.85928533,27.99,0.0
165343,255994238,VERMELHO,893.570781207,27.99,0.0
167749,255994238,VERMELHO,379.97803596,27.99,0.0
169203,255995290,PRETO,26.9863976908,27.99,0.0
169573,255995290,PRETO,428.267004425,27.99,0.0
171704,255995290,PRETO,524.7781297619999,27.99,0.0
172424,255995290,PRETO,100.45688592,27.99,0.0
172612,255994238,VERMELHO,682.53745213,27.99,0.0
172861,255994238,VERMELHO,777.003941593,27.99,0.0
173890,255995290,PRETO,810.7226819,27.99,0.0
173900,255994238,VERMELHO,120.320081284,27.99,0.0
174307,255995290,PRETO,879.00528237,27.99,0.0
175111,255995290,PRETO,723.730392613,27.99,0.0
175810,255995290,PRETO,613.355212528,27.99,0.0
176030,255995290,PRETO,260.837445652,27.99,0.0
176462,255995290,PRETO,790.056958665,27.99,0.0
176927,255995290,PRETO,959.708085538,27.99,0.0
178434,255995290,PRETO,239.67685632299998,27.99,0.0
179535,255994238,VERMELHO,959.708085538,27.99,1.0
