,ITEM_ID,FORMATO,LARGURA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
120447,260007398,1,25.0,34.0,460.85972128599997,47.36,0.0
120848,260012112,2,25.0,34.0,626.367029728,55.96,0.0
121124,260012220,2,25.0,34.0,844.114094039,43.4682608696,0.0
121370,260011742,1,29.0,38.0,436.17365030800005,47.99,0.0
121371,260007398,1,25.0,34.0,187.471691902,49.9,0.0
121474,260007152,1,25.0,34.0,87.0646526013,41.99,0.0
121518,260012198,2,29.0,38.0,120.65120790200001,44.99,0.0
122148,260012198,2,29.0,38.0,6.103246927430002,47.99,0.0
122829,260012112,2,25.0,34.0,720.035433799,55.96,0.0
123300,260011742,1,29.0,38.0,190.791046123,47.99,0.0
123362,260007152,1,25.0,34.0,226.4268137,40.8321052632,0.0
123377,260007152,1,25.0,34.0,976.768525822,49.87,0.0
123479,260012198,2,29.0,38.0,392.866998523,47.99,0.0
123849,260012112,2,25.0,34.0,181.458680203,37.99,0.0
124089,260012198,2,29.0,38.0,868.920197526,47.99,0.0
124559,260012112,2,25.0,34.0,388.79690060900003,55.96,0.0
124790,260012220,2,25.0,34.0,412.084866047,46.975,0.0
124963,260007152,1,25.0,34.0,720.356632172,37.99,0.0
124971,260012112,2,25.0,34.0,863.4454506469998,55.96,0.0
125029,260012198,2,29.0,38.0,70.2661931283,68.54,0.0
125037,260012112,2,25.0,34.0,869.707669588,55.96,0.0
125278,260012112,2,25.0,34.0,965.206856788,55.96,0.0
125579,260012220,2,25.0,34.0,329.959117892,49.78055555555,0.0
125926,260012220,2,25.0,34.0,991.356036197,43.601111111099996,0.0
125955,260012112,2,25.0,34.0,270.114877535,55.96,0.0
126195,260011742,1,29.0,38.0,488.804251663,47.99,0.0
126206,260007152,1,25.0,34.0,505.242898701,49.87,0.0
126270,260012220,2,25.0,34.0,351.042510429,39.99,0.0
126701,260012112,2,25.0,34.0,487.580271315,55.96,0.0
126706,260011742,1,29.0,38.0,770.938528669,46.975,0.0
126847,260012112,2,25.0,34.0,7.4410639662300015,37.99,0.0
126892,260012198,2,29.0,38.0,946.2905112569999,37.99,0.0
126972,260007152,1,25.0,34.0,904.177292847,37.99,0.0
127039,260011742,1,29.0,38.0,642.0968766230001,44.99,1.0
127878,260011742,1,29.0,38.0,149.782350657,47.615,0.0
128521,260011742,1,29.0,38.0,231.91162719,47.99,0.0
128532,260012220,2,25.0,34.0,958.42530565,44.99,0.0
128822,260012198,2,29.0,38.0,593.378133785,43.49,0.0
128901,260007152,1,25.0,34.0,289.150860922,41.99,0.0
129096,260012198,2,29.0,38.0,75.3643717322,47.99,0.0
129129,260012112,2,25.0,34.0,129.69222153299998,55.96,0.0
129211,260012220,2,25.0,34.0,288.439140116,44.99,1.0
129334,260012198,2,29.0,38.0,911.6987618510001,47.99,0.0
129459,260012198,2,29.0,38.0,320.055755908,47.99,0.0
129600,260012220,2,25.0,34.0,634.649920954,39.99,0.0
130091,260012112,2,25.0,34.0,241.625716418,55.96,0.0
130312,260011742,1,29.0,38.0,55.9748017286,47.99,0.0
130482,260012112,2,25.0,34.0,895.664674547,55.96,0.0
130717,260012198,2,29.0,38.0,56.1320777293,47.99,0.0
