,SESSION_ID,ITEM_PRICE,INTERESTED
123150,161.988226909,166.49,1.0
124983,842.000705035,177.58,1.0
125241,259.668211236,171.99,0.0
125959,739.5963934460001,175.99,0.0
129934,822.4901650710001,179.99,1.0
132460,282.637763134,171.99,0.0
133765,144.61585561769002,209.99,0.0
139111,6.5939481013800005,209.99,0.0
141196,826.1969955769998,190.99,0.0
142263,336.538660048,171.99,0.0
144668,4.34356733647,171.99,1.0
145128,267.218337615,171.99,0.0
147935,883.763451807,171.99,0.0
149322,190.920604037,171.99,0.0
149332,368.015358926,171.99,0.0
156064,94.7709840192,171.99,0.0
159511,444.541291118,171.99,0.0
163032,460.547269412,171.99,0.0
175044,419.63241348,171.99,0.0
178351,368.53981364199996,171.99,0.0
178844,961.587887051,171.99,0.0
